,Player,Age,Pos,G,Tgt/G,Rec/G,Rec Yds/G,Yds/Rec,Rec TD/G,Rec 1D/G,Rec Lng,Ctch%,Yds/Tgt,Att/G,Rush Yds/G,Rush TD,Rush 1D,Rush Lng,Yds/Att,Touch/G,Yds/Touch,Scrim Yds/G,RRTD/G,Fmb/G,hyper_link
0,Jonathan Taylor,22,RB,17.0,3.0,2.3529413,21.17647,9.0,0.11764706,0.7058824,76,0.784,7.1,19.529411,106.52941,18,107,83,5.454819,21.882353,5.8360214,127.70588,1.1764706,0.23529412,https://www.pro-football-reference.com/players/T/TaylJo02.htm
1,Cooper Kupp,28,WR,17.0,11.235294,8.529411,114.52941,13.4,0.9411765,5.2352943,59,0.759,10.2,0.23529412,1.0588236,0,1,18,4.5,8.764706,13.18792,115.588234,0.9411765,0.0,https://www.pro-football-reference.com/players/K/KuppCo00.htm
2,Deebo Samuel,25,WR,16.0,7.5625,4.8125,87.8125,18.2,0.375,3.1875,83,0.636,11.6,3.6875,22.8125,8,21,49,6.1864405,8.5,13.014706,110.625,0.875,0.25,https://www.pro-football-reference.com/players/S/SamuDe00.htm
3,Najee Harris,23,RB,17.0,5.529412,4.352941,27.470589,6.3,0.1764706,1.2941177,25,0.787,5.0,18.058823,70.588234,7,62,37,3.9087949,22.411764,4.375328,98.05882,0.5882353,0.0,https://www.pro-football-reference.com/players/H/HarrNa00.htm
4,Justin Jefferson,22,WR,17.0,9.823529,6.352941,95.05882,15.0,0.5882353,4.4117646,56,0.647,9.7,0.3529412,0.8235294,0,1,11,2.3333333,6.7058825,14.298245,95.882355,0.5882353,0.05882353,https://www.pro-football-reference.com/players/J/JeffJu00.htm
5,Austin Ekeler,26,RB,16.0,5.875,4.375,40.4375,9.2,0.5,1.9375,40,0.745,6.9,12.875,56.9375,12,53,28,4.42233,17.25,5.6449275,97.375,1.25,0.25,https://www.pro-football-reference.com/players/E/EkelAu00.htm
6,Davante Adams,29,WR,16.0,10.5625,7.6875,97.0625,12.6,0.6875,5.25,59,0.728,9.2,,,,0,,,7.6875,12.626017,97.0625,0.6875,0.0,https://www.pro-football-reference.com/players/A/AdamDa01.htm
7,Joe Mixon,25,RB,16.0,3.0,2.625,19.625,7.5,0.1875,0.6875,52,0.875,6.5,18.25,75.3125,13,60,32,4.1267123,20.875,4.547904,94.9375,1.0,0.125,https://www.pro-football-reference.com/players/M/MixoJo00.htm
8,Ja'Marr Chase,21,WR,17.0,7.529412,4.7647057,85.588234,18.0,0.7647059,3.2941177,82,0.633,11.4,0.4117647,1.2352941,0,2,10,3.0,5.1764708,16.772728,86.82353,0.7647059,0.11764706,https://www.pro-football-reference.com/players/C/ChasJa00.htm
9,Nick Chubb,26,RB,14.0,1.7857143,1.4285715,12.428572,8.7,0.071428575,0.64285713,40,0.8,7.0,16.285715,89.92857,8,61,70,5.5219297,17.714285,5.778226,102.35714,0.64285713,0.14285715,https://www.pro-football-reference.com/players/C/ChubNi00.htm
