Name,Next Year Fantasy Points,Average Career Age,Career Att/G,Career Rush Yds/G,Career Rush TD/G,Career Rush 1D/G,Career Rush Lng,Career Yds/Att,Career Tgt/G,Career Rec/G,Career Rec Yds/G,Career Yds/Rec,Career Rec TD/G,Career Rec 1D/G,Career Rec Lng,Career Catch %,Career Yds/Tgt,Career Touch/G,Career Yds/Tch,Career Scrim Yds/G,Career TOT TDs/G,Career Fmb/G,YBC/Att_career,YAC/Att_career,BrkTkl/Att_career,YBC/Rec_career,YAC/Rec_career,ADOT_career,BrkTkl/Rec_career,Drop%_career,Int%_career,Passer Rating when Targeted_career,Last Season Age,Last Season Att/G,Last Season Rush Yds/G,Last Season Rush TD/G,Last Season Rush 1D/G,Last Season Rush Lng,Last Season Yds/Att,Last Season Tgt/G,Last Season Rec/G,Last Season Rec Yds/G,Last Season Yds/Rec,Last Season Rec TD/G,Last Season Rec 1D/G,Last Season Rec Lng,Last Season Catch %,Last Season Yds/Tgt,Last Season Touch/G,Last Season Yds/Tch,Last Season Scrim Yds/G,Last Season TOT TDs/G,Last Season Fmb/G,YBC/Att_last,YAC/Att_last,BrkTkl/Att_last,YBC/Rec_last,YAC/Rec_last,ADOT_last,BrkTkl/Rec_last,Drop%_last,Int%_last,Passer Rating when Targeted_last
Jonathan Taylor,396.6,21.0,15.466666666666667,77.93333333333334,0.7333333333333333,4.6,62.0,5.038793103448276,2.6,2.4,19.933333333333334,8.305555555555555,0.06666666666666667,0.8,39.0,0.923076923076923,7.666666666666666,17.866666666666667,5.477611940298507,97.86666666666666,0.8,0.06666666666666667,3.0,2.1,0.06451612903225806,-1.9,10.2,-1.3,0.08333333333333333,2.6,0.0,107.2,21.0,15.466666221618652,77.93333435058594,0.7333333492279053,4.599999904632568,62.0,5.038793087005615,2.5999999046325684,2.4000000953674316,19.933332443237305,8.305554389953613,0.06666667014360428,0.800000011920929,39.0,0.061538465321063995,0.5111110806465149,17.866666793823242,5.477612018585205,97.86666870117188,0.800000011920929,0.06666667014360428,3.0,2.1,0.06451612903225806,-1.9,10.2,-1.3,0.08333333333333333,2.6,0.0,107.2
Cooper Kupp,202.0,25.0,0.5,3.125,0.0,0.375,12.0,6.25,6.875,5.0,70.75,14.15,0.75,3.125,70.0,0.7272727272727273,10.290909090909091,5.5,13.431818181818182,73.875,0.75,0.0,5.8,0.5,0.0,6.6,7.6,8.4,0.05,1.8,0.01818181818181818,134.4,25.0,0.5,3.125,0.0,0.375,12.0,6.25,6.875,5.0,70.75,14.149999618530273,0.75,3.125,70.0,0.09090909361839294,1.2863636016845703,5.5,13.431818008422852,73.875,0.75,0.0,5.8,0.5,0.0,6.6,7.6,8.4,0.05,1.8,0.01818181818181818,134.4
Cooper Kupp,142.7,25.5,0.25,1.2083333333333333,0.0,0.125,9.0,4.833333333333333,7.875,5.583333333333333,71.95833333333333,12.888059701492537,0.6666666666666666,3.1666666666666665,68.0,0.708994708994709,9.137566137566138,5.833333333333333,12.542857142857143,73.16666666666667,0.6666666666666666,0.125,3.9,0.25,0.0,6.6,6.65,7.800000000000001,0.07307692307692307,2.0,0.01655359565807327,124.85,26.0,0.125,0.25,0.0,0.0,6.0,2.0,8.375,5.875,72.5625,12.35106372833252,0.625,3.1875,66.0,0.043843284249305725,0.5415111780166626,6.0,12.135416984558105,72.8125,0.625,0.1875,2.0,0.0,0.0,6.6,5.7,7.2,0.09615384615384615,2.2,0.014925373134328358,115.3
Cooper Kupp,337.5,26.0,0.2564102564102564,1.5897435897435896,0.0,0.15384615384615385,11.333333333333334,6.2,8.025641025641026,5.794871794871795,69.25641025641026,11.95132743362832,0.48717948717948717,3.1025641025641026,63.666666666666664,0.7220447284345047,8.629392971246007,6.051282051282051,11.707627118644067,70.84615384615384,0.48717948717948717,0.10256410256410256,4.866666666666666,0.6666666666666666,0.0,6.033333333333334,6.333333333333333,7.300000000000001,0.09200799200799199,2.9333333333333336,0.01910024656774777,114.76666666666665,27.0,0.2666666805744171,2.200000047683716,0.0,0.20000000298023224,16.0,8.25,8.266666412353516,6.133333206176758,64.93333435058594,10.586956977844238,0.20000000298023224,3.0,55.0,0.04946236312389374,0.5236559510231018,6.400000095367432,10.489583015441895,67.13333129882812,0.20000000298023224,0.06666667014360428,6.8,1.5,0.0,4.9,5.7,6.3,0.12987012987012986,4.8,0.024193548387096774,94.6
Deebo Samuel,57.7,23.0,0.9333333333333333,10.6,0.2,0.3333333333333333,31.0,11.357142857142856,5.4,3.8,53.46666666666667,14.070175438596493,0.2,2.1333333333333333,42.0,0.7037037037037036,9.901234567901234,4.733333333333333,13.535211267605634,64.06666666666666,0.4,0.13333333333333333,7.5,3.9,0.14285714285714285,5.8,8.3,7.5,0.1234567901234568,11.1,0.012345679012345678,109.2,23.0,0.9333333373069763,10.600000381469727,0.20000000298023224,0.3333333432674408,31.0,11.35714340209961,5.400000095367432,3.799999952316284,53.46666717529297,14.070176124572754,0.20000000298023224,2.133333444595337,42.0,0.04691357910633087,0.6600823402404785,4.733333110809326,13.535211563110352,64.06666564941406,0.4000000059604645,0.13333334028720856,7.5,3.9,0.14285714285714285,5.8,8.3,7.5,0.1234567901234568,11.1,0.012345679012345678,109.2
Deebo Samuel,297.0,23.5,1.0,8.409090909090908,0.13636363636363635,0.2727272727272727,20.5,8.409090909090908,5.681818181818182,4.090909090909091,54.22727272727273,13.255555555555556,0.18181818181818182,2.3181818181818183,38.5,0.72,9.544,5.090909090909091,12.303571428571429,62.63636363636363,0.3181818181818182,0.09090909090909091,4.3,3.0,0.07142857142857142,2.8,10.2,4.85,0.1526374859708193,8.95,0.028900112233445567,99.7,24.0,1.1428571939468384,3.7142856121063232,0.0,0.1428571492433548,10.0,3.249999761581421,6.285714149475098,4.714285850524902,55.85714340209961,11.848484992980957,0.1428571492433548,2.7142856121063232,35.0,0.1071428582072258,1.269480586051941,5.857142925262451,10.170731544494629,59.57143020629883,0.1428571492433548,0.0,1.1,2.1,0.0,-0.2,12.1,2.2,0.18181818181818182,6.8,0.045454545454545456,90.2
Justin Jefferson,261.0,21.0,0.0625,0.125,0.0,0.0,2.0,2.0,7.8125,5.5,87.5,15.909090909090908,0.4375,3.625,71.0,0.704,11.2,5.5625,15.752808988764045,87.625,0.4375,0.0625,1.0,1.0,0.0,10.8,5.1,11.4,0.1020408163265306,1.6,0.032,112.7,21.0,0.0625,0.125,0.0,0.0,2.0,2.0,7.8125,5.5,87.5,15.909090995788574,0.4375,3.625,71.0,0.04399999976158142,0.699999988079071,5.5625,15.752808570861816,87.625,0.4375,0.0625,1.0,1.0,0.0,10.8,5.1,11.4,0.1020408163265306,1.6,0.032,112.7
Austin Ekeler,258.0,23.0,7.571428571428571,39.57142857142857,0.21428571428571427,1.7857142857142858,41.0,5.226415094339623,3.7857142857142856,2.7857142857142856,28.857142857142858,10.35897435897436,0.21428571428571427,1.3571428571428572,44.0,0.7358490566037735,7.622641509433962,10.357142857142858,6.606896551724138,68.42857142857143,0.42857142857142855,0.07142857142857142,1.9,3.3,0.0847457627118644,-0.2,10.5,0.8,0.17857142857142858,3.8,0.0,114.0,23.0,7.5714287757873535,39.57143020629883,0.2142857164144516,1.7857142686843872,41.0,5.226415157318115,3.7857143878936768,2.7857143878936768,28.85714340209961,10.35897445678711,0.2142857164144516,1.3571428060531616,44.0,0.05256064981222153,0.5444744229316711,10.357142448425293,6.60689640045166,68.42857360839844,0.4285714328289032,0.0714285746216774,1.9,3.3,0.0847457627118644,-0.2,10.5,0.8,0.17857142857142858,3.8,0.0,114.0
Austin Ekeler,134.3,23.5,7.933333333333334,37.03333333333333,0.2,1.9,38.0,4.668067226890756,5.366666666666666,4.366666666666666,46.56666666666667,10.664122137404583,0.36666666666666664,2.033333333333333,64.0,0.8136645962732919,8.677018633540374,12.3,6.796747967479675,83.6,0.5666666666666667,0.13333333333333333,1.85,2.9,0.08782742681047766,0.19999999999999998,10.35,1.05,0.17125292740046838,2.35,0.009259259259259259,118.0,24.0,8.25,34.8125,0.1875,2.0,35.0,4.219696998596191,6.75,5.75,62.0625,10.793478012084961,0.5,2.625,84.0,0.05324074253439903,0.5746527910232544,14.0,6.919642925262451,96.875,0.6875,0.1875,1.8,2.5,0.09090909090909091,0.6,10.2,1.3,0.1639344262295082,0.9,0.018518518518518517,122.0
Austin Ekeler,317.8,24.0,8.85,41.025,0.175,2.075,34.333333333333336,4.635593220338983,5.65,4.625,45.0,9.72972972972973,0.325,2.025,52.0,0.8185840707964601,7.9646017699115035,13.475,6.38404452690167,86.025,0.5,0.125,2.033333333333333,2.6666666666666665,0.09600480139425101,-0.30000000000000004,9.833333333333334,0.30000000000000004,0.1574586615570222,2.6,0.006172839506172839,112.93333333333334,25.0,11.600000381469727,53.0,0.10000000149011612,2.5999999046325684,27.0,4.568965435028076,6.5,5.400000095367432,40.29999923706055,7.462962627410889,0.20000000298023224,2.0,28.0,0.08307692408561707,0.6200000047683716,17.0,5.4882354736328125,93.30000305175781,0.30000001192092896,0.10000000149011612,2.4,2.2,0.11235955056179775,-1.3,8.8,-1.2,0.12987012987012986,3.1,0.0,102.8
