,Coefficients
Average Career Age,-0.0
Career Att/G,0.0
Career Rush Yds/G,0.0
Career Rush TD/G,0.0
Career Rush 1D/G,0.0
Career Rush Lng,4.04368706175162
Career Yds/Att,-0.0
Career Tgt/G,0.0
Career Rec/G,0.0
Career Rec Yds/G,0.0
Career Yds/Rec,0.0
Career Rec TD/G,0.0
Career Rec 1D/G,0.9453392704268118
Career Rec Lng,1.5659875320130678
Career Catch %,0.30531430044423624
Career Yds/Tgt,0.0
Career Touch/G,0.0
Career Yds/Tch,0.0
Career Scrim Yds/G,10.008051145516552
Career TOT TDs/G,5.426794445319964
Career Fmb/G,-0.0
Last Season Age,-6.314567290294026
Last Season Att/G,0.0
Last Season Rush Yds/G,0.0
Last Season Rush TD/G,0.0
Last Season Rush 1D/G,0.0
Last Season Rush Lng,0.0
Last Season Yds/Att,0.0
Last Season Tgt/G,2.6556918540531234
Last Season Rec/G,4.089980177048548
Last Season Rec Yds/G,0.0
Last Season Yds/Rec,0.0
Last Season Rec TD/G,0.0
Last Season Rec 1D/G,0.026579406724294208
Last Season Rec Lng,1.2030205113326833
Last Season Catch %,-0.4631043051910742
Last Season Yds/Tgt,-0.7389422726376687
Last Season Touch/G,0.0
Last Season Yds/Tch,0.0
Last Season Scrim Yds/G,29.495109206068445
Last Season TOT TDs/G,0.0
Last Season Fmb/G,-0.0
