,Coefficients
Cmp/G_career,0.0
Att/G_career,-0.0
Cmp%_career,-0.0
Passing Yds/G_career,0.0
Passing TD/G_career,27.25123830572568
TD%_career,-0.0
Int/G_career,-19.40171967542851
Int%_career,0.0
Passing 1D/G_career,7.085658255225631
Passing Lng_career,25.382176187922603
Passing Yds/A_career,0.0
AY/A_career,-0.0
Yds/Cmp_career,-0.0
Rate_career,-0.0
Sacks/G_career,-9.568005315726824
Sack Yds Lost/G_career,-8.484649045812539
Sk%_career,3.211802217571398
NY/A_career,-0.0
ANY/A_career,-17.68217680365938
4QC/G_career,-0.32286616017473246
4QC/G_career.1,14.623365832890471
Rush/G_career,0.0
Rushing Yds/G_career,0.0
Rushing 1D/G_career,0.0
Rushing Lng_career,0.28466789996922626
Rushing Yds/Att_career,0.0
RRTD/G_career,12.828676191270077
Fmb/G_career,0.6523363075356553
Age_last,-2.5643764203865254
Cmp/G_last,-0.0
Att/G_last,-0.0
Cmp%_last,-7.53333943691317
Passing Yds/G_last,37.88563231258349
Passing TD/G_last,21.012379015417793
TD%_last,-1.1609939758886558
Int/G_last,-16.883861298025458
Int%_last,-5.553880359864357
Passing 1D/G_last,0.0
Passing Lng_last,3.500266770181519
Passing Yds/A_last,0.0
AY/A_last,0.0
Yds/Cmp_last,0.0
Rate_last,-0.0
Sacks/G_last,0.0
Sack Yds Lost/G_last,2.555394184467641
Sk%_last,-2.9069535773819206
NY/A_last,0.0
ANY/A_last,3.341932531073948
4QC/G_last,-4.64316340910193
4QC/G_last.1,11.107030590893403
Rush/G_last,16.258048190411717
Rush Yds/G_last,-0.0
Rush 1D/G_last,-15.999708146539556
Rushing Lng_last,9.543002201485152
Rushing Yds/Att_last,-3.2712261914900873
RRTD/G_last,4.3231771621594275
Fmb/G_last,0.0
