,Coefficients
Att/G_career,0.0
Rush Yds/G_career,3.295266156377829
Yds/Att_career,0.0
Rush TDs/G_career,0.0
Rec/G_career,-0.0
Rec Yds/G_career,-0.0
Yds/Rec_career,0.0
Rec TDs/G_career,-0.0
Touch/G_career,-0.0
Scrim Yds/G_career,21.15664874850902
Yds/Touch_career,8.209590010292125
RRTD/G_career,0.0
Att/G_last,0.0
Rush Yds/G_last,0.0
Yds/Att_last,3.455199400041649
Rush TDs/G_last,1.3657307949552169
Rec/G_last,-0.0
Rec Yds/G_last,0.0
Yds/Rec_last,2.357006403225662
Rec TDs/G_last,-0.0
Touch/G_last,0.0
Scrim Yds/G_last,1.642717678058205
Yds/Touch_last,0.0
RRTD/G_last,9.116155609444226
